absolute_improvement,correlation,lag,method,n,x,y,zero_lag_correlation
0.0,-0.6841201654722969,0,pearson,168,price_return,tvl_change,-0.6841201654722969
0.0,-0.7756541017710985,0,spearman,168,price_return,tvl_change,-0.7756541017710985
0.09823231612467372,0.1455082169637816,12,pearson,156,price_return,log1p_volume_token,-0.04727590083910789
0.1332061308075236,0.1455390305195113,12,spearman,156,price_return,log1p_volume_token,-0.01233289971198769
0.17209138261620407,-0.17576731005880333,-16,pearson,153,tvl_change,log1p_volume_token,0.0036759274425992596
0.17064657953028867,-0.2306736091565813,-16,spearman,153,tvl_change,log1p_volume_token,-0.06002702962629264
