tx_from,transaction_count,swap_event_count,sell_volume,buy_volume,net_swap_to_pool,actual_transfer_net_to_pool
0x0b98fb64b4413a805089bf4dfe3d289a8ccc9131,1,1,0,0.397000391791859178,-0.397000391791859178,-0.397000391791859178
0x0e3eb60df4d14b213dc4de53316ed7bcd4aadc87,1,1,0,0.303501625312672545,-0.303501625312672545,-0.303501625312672545
0x12feae999fabba4b0086a257c9c5e350e62da0c9,2,0,0,0,0,-0.000000000000000003
0x18ca4bcd3f9f28d736e7f2361641710d90a61e74,1,1,0,0.564710046917843537,-0.564710046917843537,-0.564710046917843537
0x19dbbeb47f38025844f82b1b4f10ff2dc371ff0c,1,1,0,0.251281158342401518,-0.251281158342401518,-0.251281158342401518
0x23ead30a5c94b6b248e5b581d6cabc19fcdb9da9,2,0,0,0,0,-0.398635585499784044
0x25e36270051f0c78f0744a3da53dc9b2b4b89039,1,1,0,0.123106342923201019,-0.123106342923201019,-0.123106342923201019
0x2cb708d97596a607a30467b33461b7e2e0aee137,1,1,0,0.309692328814392575,-0.309692328814392575,-0.309692328814392575
0x3004892cf2946356e8e4570a94748afdff86681c,1,1,0,2.684391659198984287,-2.684391659198984287,-2.684391659198984287
0x315d2ee4fccda0def532ef4108ff57204f8d9eba,2,2,0,1.501434500925951313,-1.501434500925951313,-1.501434500925951313
0x34edc3b53ffc40902d92c171aa65a99332a08f00,1,1,0,0.170906007792545023,-0.170906007792545023,-0.170906007792545023
0x3a2ddbb2b997be1bdb3bc9221d4da121e790ccc8,1,1,0,0.113940194915405001,-0.113940194915405001,-0.113940194915405001
0x3a9c17cd7b7d0d144cfd115fd3d003c7bfd1339e,1,1,0,0.245824669855899149,-0.245824669855899149,-0.245824669855899149
0x3f25e90ce33a11b109dcf283ff25af9509cbd5ca,1,1,0,0.595239860792435776,-0.595239860792435776,-0.595239860792435776
0x4327db0836be2717e00ba1deb416385087b25c41,1,1,0,0.418697018848601722,-0.418697018848601722,-0.418697018848601722
0x45a2235b9027eab23ffcf759c893763f0019cbff,1,0,0,0,0,0.717334748683304172
0x49ff0e1119ac87c68863e1f1816e18680d625534,2,2,0,0.2,-0.2,-0.2
0x4b5617694f6224dc6363ac5eb1e991b1c89e72f1,1,1,0,0.224950738284863988,-0.224950738284863988,-0.224950738284863988
0x4d8d787aed355ae9f9b0cc4939f077605df2290f,1,1,0,0.844581427248584054,-0.844581427248584054,-0.844581427248584054
0x4dfae204a53e4d10e842a7eb2e7ad4931c3abe5b,1,1,0,0.661149411185578307,-0.661149411185578307,-0.661149411185578307
0x4e23424b3c635ec2cad284787467b1700517421d,1,1,0,0.200244397623404187,-0.200244397623404187,-0.200244397623404187
0x5f983e4e712d3dfc5af93cd1ef594ae14c5e6b18,1,0,0,0,0,-0.031142741525572297
0x63c9c98c84fae150f0649560b94bacd42c467654,1,1,0,1.5,-1.5,-1.5
0x65fb9db5fc926eb22ac5ae86e74242e0df44718c,1,1,0,0.720629308655487414,-0.720629308655487414,-0.720629308655487414
0x66235ecee9a4502ba68c68273b7ef292948b66ec,1,1,0,0.161661064164609857,-0.161661064164609857,-0.161661064164609857
0x6d0a6672de2e4fd4e4d0a7a4eb010b5f7c744940,1,1,0,0.501850591676214904,-0.501850591676214904,-0.501850591676214904
0x745b88ce3afa72e045470b2ab08dc6371153d74b,4,4,0,0.505477202560957213,-0.505477202560957213,-0.505477202560957213
0x79c5a7149d7e4b201c2f17325ecfd5b4dc2266d5,1,1,0,0.630781840995606559,-0.630781840995606559,-0.630781840995606559
0x7c0988a82819bf6756530dca8ca98b40a7974d42,1,1,0,0.050541852927529188,-0.050541852927529188,-0.050541852927529188
0x7d1eb7c855bf2692b0d4cc1e49193a3845bc9199,1,1,0,0.425100653561632549,-0.425100653561632549,-0.425100653561632549
0x7e32996973d8508455af8867033ea5aecb84896c,1,1,0,0.147619436363106173,-0.147619436363106173,-0.147619436363106173
