address,balance_raw,balance_decimal,is_pool,pool_label,tx_count,first_seen_block,last_seen_block,query_timestamp
0x000000000004444c5dc75cB358380D2e3dE08A90,1123113600006262421575,1123.1136,False,,595,25003546,25003999,1784895933
0x9642b23Ed1E01Df1092B92641051881a322F5D4E,94642449081781254041,94.642449,False,,13,25003791,25003953,1784895933
0x4Ff1D40fb7B56665bf95D8D8e3A5320dE46709A1,49490179228055465778,49.490179,False,,3,25003700,25003886,1784895933
0x7b6a9f41c68b5Fb037699376F283B02Cd0012D16,18031990068678733834,18.03199,False,,3,25003609,25003764,1784895933
0xfE8e9273aB86B12C0102202F3DaA073Eb14a509F,12321169266154250219,12.321169,False,,2,25003793,25003896,1784895933
0xa673e962941E0F87CE557989cbc7901560d349D6,7413463310383497059,7.413463,False,,2,25003850,25003867,1784895933
0x2102202E25c69F14e0E1a2915CFd5b74Db30594a,5022835587858397334,5.022836,False,,1,25003788,25003788,1784895933
0xdc893995d488E5BE8eC8CA1Db92CBEc2a1ab0775,5004748508099679872,5.004749,True,UNISWAP V3,231,25003548,25004000,1784895933
0xf5eA7526473d5d95c9c956d29A098661F2A46728,4912259755881980156,4.91226,False,,3,25003938,25003938,1784895933
0x662d5DFE4039cC69412654C818aD0F7352C3F5F1,4133563944973840815,4.133564,False,,2,25003985,25003985,1784895933
0x570C16Baff38D218859de956A49D880819666F36,4036135991117267518,4.036136,False,,1,25003843,25003843,1784895933
0xae5b9D2bCAEdAbfeb2bEc1c498Bb550ccaaa2eFc,3183931656985680322,3.183932,False,,1,25003994,25003994,1784895933
0x88a652ed8FD3CA27Ff2CADA4BD1BA027A3A84D05,2876119670616624131,2.87612,False,,2,25003868,25003868,1784895933
0x1bfFC3E2eCB31192e98CAd276Bc8B180bb8617B7,2108354885726020618,2.108355,False,,2,25003596,25003708,1784895933
0x8941dFb218A9DDeaB59e66441EDf8F11DD29192F,2013343306880713837,2.013343,False,,2,25003706,25003706,1784895933
0xfA9baCD043eCf8c1cC07cfbaf760135AEE05567E,1881000000000000000,1.881,False,,1,25003974,25003974,1784895933
0xD730B101790e90051Ee2dB099Ac8Ee2c160d210c,1394500072656322506,1.3945,False,,23,25003808,25003842,1784895933
0x989b473579b938fFC956C6d12A01Ad53C0953329,1283221806680494371,1.283222,False,,1,25003749,25003749,1784895933
0x5F1C5951c5B1cC112bA9E89B9467edca33063453,1239204968196432560,1.239205,False,,5,25003842,25003934,1784895933
0x7D92e04813d13AAF2E2853c341a19a3Db92DBe5a,1179902807322970694,1.179903,False,,1,25003799,25003799,1784895933
0x0Ac277B643dA45329D6779C7897688D87ac29A7A,1099963246500652416,1.099963,False,,1,25003693,25003693,1784895933
0x617e24fcdF3e283Cf374E950918ecB960253FFB2,1064833293536493155,1.064833,False,,3,25003874,25003874,1784895933
0x95974B05b72921B6622731e1EDBb43eF398E0fCF,1000000000000000000,1.0,False,,2,25003807,25003826,1784895933
0x06a2140026cAa073D2EF3B62A659E94FA70fDDf1,790784023907389078,0.790784,False,,1,25003790,25003790,1784895933
0x5AaFc1f252d544f744d17a4E734afd6efC47edE4,773007992774642155,0.773008,False,,5,25003797,25003964,1784895933
0xd862CDcfEB856C32B3C4F7563f4811D8Ddfd42e2,667223514018514408,0.667224,False,,6,25003788,25003836,1784895933
0x88538812e41b89689f5e23871ef5d5CE2be0F987,647046876286204029,0.647047,False,,22,25003626,25003844,1784895933
0xcD6b980029E6E6e0733ac8eC3E02be9410D09799,609124221640398359,0.609124,False,,7,25003611,25003913,1784895933
0xb77C8a50586eC4e77e67122768B09A15e33FaD29,487696190207308712,0.487696,False,,1,25003802,25003802,1784895933
0xAaD2a00550C1C829f360094d1c643e05C2cB99ff,398161781229828850,0.398162,False,,1,25003612,25003612,1784895933
0xaB58c5A29Fe58Ca841DC98fBbC4b9A5903942950,381418816792274826,0.381419,False,,4,25003867,25003867,1784895933
0x62D63eFDFdc7804666725f4Cc8Cb45C1A41A0809,315286133748305413,0.315286,False,,1,25003940,25003940,1784895933
0x569F26Ed3FF322edA22A9650cFCd05E9E8152DF8,197146049871158632,0.197146,False,,1,25003957,25003957,1784895933
0x07964f135f276412b3182a3B2407b8dd45000000,161875243994351025,0.161875,False,,6,25003721,25003846,1784895933
0xB06184E76AA62c078a3a58C00E0C44a5DCffA5ab,105169820364290684,0.10517,False,,1,25003879,25003879,1784895933
0xde7259893Af7cdbC9fD806c6ba61D22D581d5667,69349611247855562,0.06935,False,,6,25003807,25003992,1784895933
0x7019d1b89abdca70bD753B0c8C7066E0Ff41aC5c,49608433798606264,0.049608,False,,1,25003946,25003946,1784895933
0x4a8762e8137e389ACEC01EB375d126D142272bFf,45052033617186208,0.045052,False,,1,25003966,25003966,1784895933
0xF55c02b021f91752521C0cB74303565f25BAcCb1,43419385370090994,0.043419,False,,1,25003857,25003857,1784895933
0xFAD4c8F1e71E4c56B87733BD916FF7CfF46c6C29,33555091467919145,0.033555,False,,4,25003664,25003918,1784895933
0x48b51287FB5281EA0913100809C3b7f1649C7996,32638024545243950,0.032638,False,,2,25003850,25003867,1784895933
0x21ff5cf76f562c6fb3871b59133a9E214eBc0078,32553214288744495,0.032553,True,UNISWAP V2,0,25003546,25004000,1784895933
0xA4d9D7068d84bbDF2E3Caf1bBF2e1135BCD41984,29867668619569983,0.029868,False,,1,25003556,25003556,1784895933
0xC06ebbefD94032B85424D51906e2A335EFAe264B,28312843595181949,0.028313,False,,6,25003556,25003918,1784895933
0x81463B0f960f247f704377661ec81C1fd65b5128,13480603234671883,0.013481,False,,8,25003678,25003818,1784895933
0xcdeac38DC448D16997F8D3F4486f78d3f6b0dDC9,13352054724259434,0.013352,False,,1,25003717,25003717,1784895933
0xd8E80048130743183acb0F6b17170AEa6bFdBab4,11342996824117139,0.011343,False,,1,25003968,25003968,1784895933
0x7059A9f16dd2405AeF3Dd4f70a89127Ce577a890,3685737296018430,0.003686,True,UNISWAP V3,0,25003546,25004000,1784895933
0x3A5eEDc432B6FB0e5eEdF206b63F7D9334989309,2960981980953239,0.002961,False,,2,25003876,25003876,1784895933
0x1731431E8cb97B0826275F8Ca35a2f2cE9F0CF93,2849782317468452,0.00285,False,,1,25003556,25003556,1784895933
0x03588d14a7Aff8a566Afd539A4B44CdECCa00fDB,1472332525192309,0.001472,False,,4,25003843,25003985,1784895933
0xEDC6531B10297788CBb0fcFAEE904a3803D3E2e4,1012420678942846,0.001012,False,,1,25003836,25003836,1784895933
0xaD01C20d5886137e056775af56915de824c8fCe5,432913990779434,0.000433,False,,1,25003841,25003841,1784895933
0x7AD4bdC94d4040b1B76CCab5458B4C6c5bc6F960,191852634313055,0.000192,False,,2,25003859,25003874,1784895933
0x7336Bc7430cabaA56339E8521b06ee9C3382e68C,100000000000000,0.0001,False,,4,25003788,25003836,1784895933
0xFeA2e2CE0D260144C75f3f96D16ebAfEE5Ba9FD3,90000072964693,9e-05,False,,1,25003980,25003980,1784895933
0xb1b2d032AA2F52347fbcfd08E5C3Cc55216E8404,16321207100851,1.6e-05,False,,3,25003826,25003836,1784895933
0x9830d373fBFE5daBF039071eCCdaFE4192ABd7A1,5531386801984,6e-06,False,,2,25003799,25003806,1784895933
0xAeEad20e455f69B3EeF4A7af17Fc0dda8C15BB51,3913122109046,4e-06,False,,1,25003836,25003836,1784895933
0xb5436C6Bc4260FD8909Ba36d0D3EB9176a99eAD8,3738438553276,4e-06,False,,3,25003898,25003898,1784895933
0x4BfA9680e9A3C23691135d3DC6C3D9Ec5d2B2B30,1411214616410,1e-06,False,,2,25003821,25003832,1784895933
0x8392876883Cf0e9e7ee24d9b1F606ED88644f23B,851503219099,1e-06,False,,6,25003881,25003949,1784895933
0x002D09751222078406A2c6FfeD463d43E05D364a,0,0.0,False,,2,25003572,25003591,1784895933
