pool_address,protocol,version,token0,token1,fee,balance_raw,balance_decimal,in_holders_list
0x21ff5cf76f562c6fb3871b59133a9E214eBc0078,uniswap,v2,0x44b28991B167582F18BA0259e0173176ca125505,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,,32553214288744495,0.032553,True
0xdc893995d488E5BE8eC8CA1Db92CBEc2a1ab0775,uniswap,v3,0x44b28991B167582F18BA0259e0173176ca125505,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000,5004748508099679872,5.004749,True
0x7059A9f16dd2405AeF3Dd4f70a89127Ce577a890,uniswap,v3,0x44b28991B167582F18BA0259e0173176ca125505,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,3685737296018430,0.003686,True
0x84a69fcD071D5c36EF9ca3A31b1ff3aEFB314230,uniswap,v3,0x44b28991B167582F18BA0259e0173176ca125505,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000,1,0.0,True
